"inchikey"	"synonym"
"ULGZDMOVFRHVEP-UHFFFAOYSA-N"	"400mg/5ml"
"ULGZDMOVFRHVEP-UHFFFAOYSA-N"	"400mg/5ml"
"UNFWWIHTNXNPBV-UHFFFAOYSA-N"	"400mg/ml"
"UNFWWIHTNXNPBV-UHFFFAOYSA-N"	"400mg/ml"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"400unit(dri"
"PVCULFYROUOVGJ-UHFFFAOYSA-N"	"40101m"
"IVBHGBMCVLDMKU-UHFFFAOYSA-N"	"40g/vial"
"IVBHGBMCVLDMKU-UHFFFAOYSA-N"	"40gm/vial"
"IVBHGBMCVLDMKU-UHFFFAOYSA-N"	"40gm/vial"
"JVTAAEKCZFNVCJ-UHFFFAOYSA-N"	"40meq"
"JVTAAEKCZFNVCJ-UHFFFAOYSA-N"	"40meq in"
"XQZXYNRDCRIARQ-UHFFFAOYSA-N"	"41%"
"XQZXYNRDCRIARQ-UHFFFAOYSA-N"	"41%"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"420mg"
"UXIGWFXRQKWHHA-UHFFFAOYSA-N"	"43%"
"UXIGWFXRQKWHHA-UHFFFAOYSA-N"	"43%"
"PYZRQGJRPPTADH-UHFFFAOYSA-N"	"430c"
"ZPEIMTDSQAKGNT-UHFFFAOYSA-N"	"44.5mg/ml"
"ZPEIMTDSQAKGNT-UHFFFAOYSA-N"	"44.5mg/ml"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"454 16%"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"454 16%"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"464 pump"
"PVNIIMVLHYAWGP-UHFFFAOYSA-N"	"475mg"
"JVTAAEKCZFNVCJ-UHFFFAOYSA-N"	"48 in"
"YASAKCUCGLMORW-UHFFFAOYSA-N"	"49653c"
"BTCSSZJGUNDROE-UHFFFAOYSA-N"	"4abu"
"KBOPZPXVLCULAV-UHFFFAOYSA-N"	"4g/100ml"
"BXZVVICBKDXVGW-UHFFFAOYSA-N"	"4g/bott"
"IVBHGBMCVLDMKU-UHFFFAOYSA-N"	"4g/vial"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"4gm/100ml"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"4gm/100ml"
"IVBHGBMCVLDMKU-UHFFFAOYSA-N"	"4gm/vial"
"IVBHGBMCVLDMKU-UHFFFAOYSA-N"	"4gm/vial"
"SOYKEARSMXGVTM-UHFFFAOYSA-N"	"4hour"
"PMMYEEVYMWASQN-UHFFFAOYSA-N"	"4hyp"
"POPFMWWJOGLOIF-UHFFFAOYSA-N"	"4mcg"
"POPFMWWJOGLOIF-UHFFFAOYSA-N"	"4mcg sq"
"NFLWUMRGJYTJIN-UHFFFAOYSA-N"	"4mcg/ml"
"NFLWUMRGJYTJIN-UHFFFAOYSA-N"	"4mcg/ml"
"JJCFRYNCJDLXIK-UHFFFAOYSA-N"	"4mg/tablet"
"OBKXEAXTFZPCHS-UHFFFAOYSA-N"	"4pba"
"UQWLOWFDKAFKAP-UHFFFAOYSA-N"	"4s"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"5 grain"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"5 in"
"KDLRVYVGXIQJDK-UHFFFAOYSA-N"	"5 percent"
"ANTSCNMPPGJYLG-UHFFFAOYSA-N"	"5-4"
"AIONOLUJZLIMTK-UHFFFAOYSA-N"	"5,7,"
"AIONOLUJZLIMTK-UHFFFAOYSA-N"	"5,7,"
"ZBBHBTPTTSWHBA-UHFFFAOYSA-N"	"5.0% dextrose"
"MYPYJXKWCTUITO-UHFFFAOYSA-N"	"5.0gm/vial"
"NDAUXUAQIAJITI-UHFFFAOYSA-N"	"5.0mg"
"BLGXFZZNTVWLAY-UHFFFAOYSA-N"	"5.4mg"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"5.5%"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"5.5%"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"5.5% sulfite"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"5.7mg"
"VWWQXMAJTJZDQX-UHFFFAOYSA-N"	"5'-[3-(riboflavin-5'-yl)"
"ZWAOHEXOSAUJHY-UHFFFAOYSA-N"	"5'-dfur"
"PGAVKCOVUIYSFO-UHFFFAOYSA-N"	"5'-utp"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"5/10"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"5/15"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"5/20"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"5/25"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"5/35"
"CGIGDMFJXJATDK-UHFFFAOYSA-N"	"50 cap"
"BQJCRHHNABKAKU-UHFFFAOYSA-N"	"50-50mg/ml"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"50% in"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"50% in"
"YVPYQUNUQOZFHG-UHFFFAOYSA-N"	"50%-liq"
"YVPYQUNUQOZFHG-UHFFFAOYSA-N"	"50%-liq"
"YVPYQUNUQOZFHG-UHFFFAOYSA-N"	"50%-liq iv"
"MYSWGUAQZAJSOK-UHFFFAOYSA-N"	"500-tab"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"5000 i.u."
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"5000 i.u."
"QYSXJUFSXHHAJI-UHFFFAOYSA-N"	"5000 iu"
"QYSXJUFSXHHAJI-UHFFFAOYSA-N"	"50000 iu"
"JGSARLDLIJGVTE-UHFFFAOYSA-N"	"5000000iu"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"50000unit"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"5000iu"
"DFPAKSUCGFBDDF-UHFFFAOYSA-N"	"500mg-tab"
"IRSCQMHQWWYFCW-UHFFFAOYSA-N"	"500mg/10m/-vial"
"IRSCQMHQWWYFCW-UHFFFAOYSA-N"	"500mg/10m/-vial iv"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"500mg/10ml"
"KSCFJBIXMNOVSH-UHFFFAOYSA-N"	"500mg/2ml"
"KSCFJBIXMNOVSH-UHFFFAOYSA-N"	"500mg/2ml"
"JYGXADMDTFJGBT-UHFFFAOYSA-N"	"500mg/4ml"
"JYGXADMDTFJGBT-UHFFFAOYSA-N"	"500mg/4ml"
"AVKUERGKIZMTKX-UHFFFAOYSA-N"	"500mg/5ml"
"AVKUERGKIZMTKX-UHFFFAOYSA-N"	"500mg/5ml"
"NCEXYHBECQHGNR-UHFFFAOYSA-N"	"500mg/tab"
"NCEXYHBECQHGNR-UHFFFAOYSA-N"	"500mg/tab"
"BPLBGHOLXOTWMN-UHFFFAOYSA-N"	"500sus"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"500tab"
"YVPYQUNUQOZFHG-UHFFFAOYSA-N"	"50gm/120ml"
"GUBGYTABKSRVRQ-UHFFFAOYSA-N"	"50gm/pck"
"GUBGYTABKSRVRQ-UHFFFAOYSA-N"	"50gm/pck"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"50m"
"XUIIKFGFIJCVMT-UHFFFAOYSA-N"	"50mcg-tab"
"LWQQLNNNIPYSNX-UHFFFAOYSA-N"	"50mcg/gm"
"LWQQLNNNIPYSNX-UHFFFAOYSA-N"	"50mcg/gm"
"XADCESSVHJOZHK-UHFFFAOYSA-N"	"50mg-liq"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"50ml"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"50unit"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"50unit/gm"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"50unit/gm"
"BXWNKGSJHAJOGX-UHFFFAOYSA-N"	"52 nf"
"BXWNKGSJHAJOGX-UHFFFAOYSA-N"	"52nf"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"550mg/amp"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"550mg/amp"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"56 in"
"KUCQYCKVKVOKAY-UHFFFAOYSA-N"	"566c80"
"BCFGMOOMADDAQU-UHFFFAOYSA-N"	"572016x"
"WJJYZXPHLSLMGE-UHFFFAOYSA-N"	"57746a"
"PCOBBVZJEWWZFR-UHFFFAOYSA-N"	"582892x"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"5gm/100ml"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"5gm/100ml"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"5gm/5ml"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"5gm/5ml"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"5gr"
"QJDNHGXNNRLIGA-UHFFFAOYSA-N"	"5ht"
"ZQPPMHVWECSIRJ-UHFFFAOYSA-N"	"5l"
"JGSARLDLIJGVTE-UHFFFAOYSA-N"	"5m"
"JGSARLDLIJGVTE-UHFFFAOYSA-N"	"5m i.u."
"JGSARLDLIJGVTE-UHFFFAOYSA-N"	"5m i.u."
"YBJHBAHKTGYVGT-UHFFFAOYSA-N"	"5mcg a"
"IZTQOLKUZKXIRV-UHFFFAOYSA-N"	"5mcg/vial"
"JVTAAEKCZFNVCJ-UHFFFAOYSA-N"	"5meq"
"JVTAAEKCZFNVCJ-UHFFFAOYSA-N"	"5meq in"
"HYIMSNHJOBLJNT-UHFFFAOYSA-N"	"5mg-cap"
"UREBDLICKHMUKA-UHFFFAOYSA-N"	"5mg/100ml"
"UREBDLICKHMUKA-UHFFFAOYSA-N"	"5mg/100ml"
"NDAUXUAQIAJITI-UHFFFAOYSA-N"	"5mg/2.5ml"
"NDAUXUAQIAJITI-UHFFFAOYSA-N"	"5mg/2.5ml"
"HHJUWIANJFBDHT-UHFFFAOYSA-N"	"5mg/2ml"
"HHJUWIANJFBDHT-UHFFFAOYSA-N"	"5mg/2ml"
"ULGZDMOVFRHVEP-UHFFFAOYSA-N"	"5mg/g"
"ULGZDMOVFRHVEP-UHFFFAOYSA-N"	"5mg/g"
"ULGZDMOVFRHVEP-UHFFFAOYSA-N"	"5mg/gm"
"ULGZDMOVFRHVEP-UHFFFAOYSA-N"	"5mg/gm"
"CSDTZUBPSYWZDX-UHFFFAOYSA-N"	"5min"
"NDAUXUAQIAJITI-UHFFFAOYSA-N"	"5ml (1000mcg/ml)"
"NDAUXUAQIAJITI-UHFFFAOYSA-N"	"5ml (50mcg/ml)"
"GWNVDXQDILPJIG-UHFFFAOYSA-N"	"5s,6r-ltc"
"GLVAUDGFNGKCSF-UHFFFAOYSA-N"	"6 mp"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"6-11"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"6.1mg"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"6.1mg/loz"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"6.1mg/loz"
"QXHHHPZILQDDPS-UHFFFAOYSA-N"	"6.5%"
"QXHHHPZILQDDPS-UHFFFAOYSA-N"	"6.5%"
"QXHHHPZILQDDPS-UHFFFAOYSA-N"	"6.5% w/w"
"QXHHHPZILQDDPS-UHFFFAOYSA-N"	"6.5% w/w"
"OIGNJSKKLXVSLS-UHFFFAOYSA-N"	"6.7mg/5ml"
"OIGNJSKKLXVSLS-UHFFFAOYSA-N"	"6.7mg/5ml"
"LOUPRKONTZGTKE-UHFFFAOYSA-N"	"6'-methoxy-,"
"YVPYQUNUQOZFHG-UHFFFAOYSA-N"	"60%"
"YVPYQUNUQOZFHG-UHFFFAOYSA-N"	"60%"
"QYSXJUFSXHHAJI-UHFFFAOYSA-N"	"600 +d"
"BDAGIHXWWSANSR-UHFFFAOYSA-N"	"600l"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"60w"
"XQZXYNRDCRIARQ-UHFFFAOYSA-N"	"61%"
"XQZXYNRDCRIARQ-UHFFFAOYSA-N"	"61%"
"KWMLJOLKUYYJFJ-UHFFFAOYSA-N"	"625mg/5ml"
"KWMLJOLKUYYJFJ-UHFFFAOYSA-N"	"625mg/5ml"
"ZQPPMHVWECSIRJ-UHFFFAOYSA-N"	"6333 nf"
"DAFYYTQWSAWIGS-UHFFFAOYSA-N"	"642444m"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"650mg/pck"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"650mg/pck"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"667mg"
"JCQLYHFGKNRPGE-UHFFFAOYSA-N"	"667mg/ml"
"JCQLYHFGKNRPGE-UHFFFAOYSA-N"	"667mg/ml"
"LERNTVKEWCAPOY-UHFFFAOYSA-N"	"679 br"
"LERNTVKEWCAPOY-UHFFFAOYSA-N"	"679br"
"YMTINGFKWWXKFG-UHFFFAOYSA-N"	"67mg"
"LGLFFNDHMLKUMI-UHFFFAOYSA-N"	"6bn"
"ORFOPKXBNMVMKC-UHFFFAOYSA-N"	"6g/vial"
"CYQFCXCEBYINGO-UHFFFAOYSA-N"	"6h-dibenzo(b,d)pyran-1-ol,"
"XIMXJQOPHNZJDD-UHFFFAOYSA-N"	"6mcg"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"6mm"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"6mm pls"
"WYWHKKSPHMUBEB-UHFFFAOYSA-N"	"6mp"
"FNKQXYHWGSIFBK-UHFFFAOYSA-N"	"6r-bh4"
"BYBLEWFAAKGYCD-UHFFFAOYSA-N"	"7 7-day"
"BYBLEWFAAKGYCD-UHFFFAOYSA-N"	"7 dual"
"BYBLEWFAAKGYCD-UHFFFAOYSA-N"	"7 sup"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"7-11"
"BYBLEWFAAKGYCD-UHFFFAOYSA-N"	"7-crm"
"BYBLEWFAAKGYCD-UHFFFAOYSA-N"	"7-crm 20mg/g"
"BYBLEWFAAKGYCD-UHFFFAOYSA-N"	"7-crm vag"
"BYBLEWFAAKGYCD-UHFFFAOYSA-N"	"7-day"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"7-select"
"CURLTUGMZLYLDI-UHFFFAOYSA-N"	"7.1%"
"CURLTUGMZLYLDI-UHFFFAOYSA-N"	"7.1%"
"CURLTUGMZLYLDI-UHFFFAOYSA-N"	"7.1% w"
"CURLTUGMZLYLDI-UHFFFAOYSA-N"	"7.1% w"
"GBBSUAFBMRNDJC-UHFFFAOYSA-N"	"7.5-tab"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"7.5/650"
"JFPVXVDWJQMJEE-UHFFFAOYSA-N"	"7.5gm/vial"
"MKXZASYAUGDDCJ-UHFFFAOYSA-N"	"7.5mg/5ml"
"MKXZASYAUGDDCJ-UHFFFAOYSA-N"	"7.5mg/5ml"
"SEEPANYCNGTZFQ-UHFFFAOYSA-N"	"7.7gr"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"70/02"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"70/70"
"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"70%"
"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"70%"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"700unit"
"PBJUNZJWGZTSKL-UHFFFAOYSA-N"	"70569.hcl"
"SNIOPGDIGTZGOP-UHFFFAOYSA-N"	"72mg/26.6"
"SNIOPGDIGTZGOP-UHFFFAOYSA-N"	"72mg/26.6"
"SNIOPGDIGTZGOP-UHFFFAOYSA-N"	"72mg/26.6 sq"
"MYSWGUAQZAJSOK-UHFFFAOYSA-N"	"750-tab"
"JFPVXVDWJQMJEE-UHFFFAOYSA-N"	"750mg/add-vantage"
"JFPVXVDWJQMJEE-UHFFFAOYSA-N"	"750mg/vial"
"GKCBAIGFKIBETG-UHFFFAOYSA-N"	"754mg/65gm"
"XUIIKFGFIJCVMT-UHFFFAOYSA-N"	"75mcg-tab"
"XADCESSVHJOZHK-UHFFFAOYSA-N"	"75mg-liq"
"DBLVDAUGBTYDFR-UHFFFAOYSA-N"	"767 a"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"77unit/ml"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"77unit/ml"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"77unit/ml water"
"DPFHVUSPVHRVFL-UHFFFAOYSA-N"	"78608(1+)"
"YCOYDOIWSSHVCK-UHFFFAOYSA-N"	"787/zk"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"787mg"
"SNICXCGAKADSCV-UHFFFAOYSA-N"	"78mg"
"YCOYDOIWSSHVCK-UHFFFAOYSA-N"	"79787d"
"LPXQRXLUHJKZIE-UHFFFAOYSA-N"	"8 ag"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"8 hr"
"RYMZZMVNJRMUDD-UHFFFAOYSA-N"	"8-ester"
"MCJGNVYPOGVAJF-UHFFFAOYSA-N"	"8-quinol"
"WWZKQHOCKIZLMA-UHFFFAOYSA-N"	"8:0"
"LXNHXLLTXMVWPM-UHFFFAOYSA-N"	"8.33mg"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"8.4%"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"8.4%"
"LXNHXLLTXMVWPM-UHFFFAOYSA-N"	"8.45gm"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"8.4mg/loz"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"8.4mg/loz"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"8%"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"8%"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"800 i.u."
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"800 i.u."
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"800 iu"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"800 ui"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"800iu"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"800iunf"
"OVBPIULPVIDEAO-UHFFFAOYSA-N"	"800mcg"
"PVNIIMVLHYAWGP-UHFFFAOYSA-N"	"800mg/1.25ml"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"800t"
"GVJHHUAWPYXKBD-UHFFFAOYSA-N"	"800unit"
"ZFXYFBGIUFBOJW-UHFFFAOYSA-N"	"80mg/15ml"
"ZFXYFBGIUFBOJW-UHFFFAOYSA-N"	"80mg/15ml"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"80mg/5ml"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"80mg/5ml"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"80mg/ml dps-grape"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"80mg/ml enf"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"80mg/tablet"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"80ml/5ml"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"80ml/5ml"
"OENHQHLEOONYIE-UHFFFAOYSA-N"	"80s"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"81.25gm/l"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"81.25gm/l"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"81mg"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"81mg ec"
"PWACSDKDOHSSQD-UHFFFAOYSA-N"	"825c"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"84mg/ml"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"84mg/ml"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"85 npc"
"TZBJGXHYKVUXJN-UHFFFAOYSA-N"	"85%"
"TZBJGXHYKVUXJN-UHFFFAOYSA-N"	"85%"
"TZBJGXHYKVUXJN-UHFFFAOYSA-N"	"85% hplc"
"TZBJGXHYKVUXJN-UHFFFAOYSA-N"	"85% hplc"
"OQJADHLOEAOIGC-UHFFFAOYSA-N"	"86 factor"
"HDDSHPAODJUKPD-UHFFFAOYSA-N"	"881v"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"888.8mg/gm"
"XUIIKFGFIJCVMT-UHFFFAOYSA-N"	"88mcg"
"WQZGKKKJIJFFOK-UHFFFAOYSA-N"	"8abp"
"WWZKQHOCKIZLMA-UHFFFAOYSA-N"	"8s"
"JGSARLDLIJGVTE-UHFFFAOYSA-N"	"900/300"
"QQBDLJCYGRGAKP-UHFFFAOYSA-N"	"91b"
"NIXOWILDQLNWCW-UHFFFAOYSA-N"	"934p"
"QULDDKSCVCJTPV-UHFFFAOYSA-N"	"94m"
"WQZGKKKJIJFFOK-UHFFFAOYSA-N"	"95m"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"975mg"
"NNJVILVZKWQKPM-UHFFFAOYSA-N"	"98%"
"NNJVILVZKWQKPM-UHFFFAOYSA-N"	"98%"
"BCQZXOMGPXTTIC-UHFFFAOYSA-N"	"99.9%"
"BCQZXOMGPXTTIC-UHFFFAOYSA-N"	"99.9%"
"JYGXADMDTFJGBT-UHFFFAOYSA-N"	"999 itch"
"XJGFWWJLMVZSIG-UHFFFAOYSA-N"	"9aa"
"XJGFWWJLMVZSIG-UHFFFAOYSA-N"	"9aa(1+)"
"OYHQOLUKZRVURQ-UHFFFAOYSA-N"	"9c,"
"OYHQOLUKZRVURQ-UHFFFAOYSA-N"	"9c,"
"OYHQOLUKZRVURQ-UHFFFAOYSA-N"	"9c, 12c"
"QZTWUDDGLIDXSE-UHFFFAOYSA-N"	"9he"
"WBHHMMIMDMUBKC-UHFFFAOYSA-N"	"9t-18:1"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"À"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"À"
"SHGAZHPCJJPHSC-UHFFFAOYSA-N"	"a (tn)"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a +zinc"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a 10000"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a 10000iu"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a 10000ui"
"XESARGFCSKSFID-UHFFFAOYSA-N"	"a 23813"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a 40"
"OELFLUMRDSZNSF-UHFFFAOYSA-N"	"a 4166"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a 5000"
"WUWFMDMBOJLQIV-UHFFFAOYSA-N"	"a 61827"
"MWLSOWXNZPKENC-UHFFFAOYSA-N"	"a 64077"
"UTNUDOFZCWSZMS-UHFFFAOYSA-N"	"a 77-1726"
"UTNUDOFZCWSZMS-UHFFFAOYSA-N"	"a 771726"
"RFDMNXDDRXVJTM-UHFFFAOYSA-N"	"a 80198"
"QGNJRVVDBSJHIZ-UHFFFAOYSA-N"	"a acetate"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"a b"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"a bottle"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a cap"
"RDOIQAHITMMDAJ-UHFFFAOYSA-N"	"a d"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"a hand"
"ISWSIDIOOBJBQZ-UHFFFAOYSA-N"	"a lay"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"a mains"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"À mains"
"QYSXJUFSXHHAJI-UHFFFAOYSA-N"	"a mins"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a mulsion"
"SONNWYBIRXJNDC-UHFFFAOYSA-N"	"a stuffy"
"GRRNUXAQVGOGFE-UHFFFAOYSA-N"	"a-396-ii"
"XOKJUSAYZUAMGJ-UHFFFAOYSA-N"	"a-399-y4"
"OELFLUMRDSZNSF-UHFFFAOYSA-N"	"a-4166"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"a-535"
"WUWFMDMBOJLQIV-UHFFFAOYSA-N"	"a-61827"
"MWLSOWXNZPKENC-UHFFFAOYSA-N"	"a-64077"
"MJIHNNLFOKEZEW-UHFFFAOYSA-N"	"a-65006"
"SHGAZHPCJJPHSC-UHFFFAOYSA-N"	"a-acido"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"a-per"
"FPIPGXGPPPQFEQ-UHFFFAOYSA-N"	"a, plain"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"a.b.h.c."
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"a.b.h.c."
"LXNHXLLTXMVWPM-UHFFFAOYSA-N"	"a.l.-tab"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"a.r.-th"
"JGSARLDLIJGVTE-UHFFFAOYSA-N"	"a.s."
"JGSARLDLIJGVTE-UHFFFAOYSA-N"	"a.s."
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"a.s.a"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"a.s.a. (acetylsalicylic"
"ULGZDMOVFRHVEP-UHFFFAOYSA-N"	"a/t/s"
"IPQVTOJGNYVQEO-UHFFFAOYSA-N"	"a&b"
"SHGAZHPCJJPHSC-UHFFFAOYSA-N"	"a1 acid"
"HYIMSNHJOBLJNT-UHFFFAOYSA-N"	"a1040"
"PJBQWWHYTVYMLO-UHFFFAOYSA-N"	"A11G"
"PJBQWWHYTVYMLO-UHFFFAOYSA-N"	"A11GA"
"PJBQWWHYTVYMLO-UHFFFAOYSA-N"	"A11GB"
"FMMWZTLBFOGILB-UHFFFAOYSA-N"	"a3 acid"
"XCSKPDHTXAUXHE-UHFFFAOYSA-N"	"a4 acid"
"PWACSDKDOHSSQD-UHFFFAOYSA-N"	"a825c"
"ZZORFUFYDOWNEF-UHFFFAOYSA-N"	"abcid"
"MKKYBZZTJQGVCD-UHFFFAOYSA-N"	"abk"
"POULHZVOKOAJMA-UHFFFAOYSA-N"	"abl"
"FUSNMLFNXJSCDI-UHFFFAOYSA-N"	"absorbent"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"absorbine jr."
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"absorbing"
"LQBVNQSMGBZMKD-UHFFFAOYSA-N"	"abt 199"
"PIDFDZJZLOTZTM-UHFFFAOYSA-N"	"abt 267"
"NBRBXGKOEOGLOI-UHFFFAOYSA-N"	"abt 333"
"UAUIUKWPKRJZJV-UHFFFAOYSA-N"	"abt 450"
"MPVGZUGXCQEXTM-UHFFFAOYSA-N"	"abt 869"
"YRVIKLBSVVNSHF-UHFFFAOYSA-N"	"abt-089"
"LQBVNQSMGBZMKD-UHFFFAOYSA-N"	"abt-199"
"PIDFDZJZLOTZTM-UHFFFAOYSA-N"	"abt-267"
"NBRBXGKOEOGLOI-UHFFFAOYSA-N"	"abt-333"
"UAUIUKWPKRJZJV-UHFFFAOYSA-N"	"abt-450"
"RIWLPSIAFBLILR-UHFFFAOYSA-N"	"abt-510"
"NCDNCNXCDXHOMX-UHFFFAOYSA-N"	"abt-538"
"PENDGIOBPJLVBT-UHFFFAOYSA-N"	"abt-773"
"MPVGZUGXCQEXTM-UHFFFAOYSA-N"	"abt-869"
"LQBVNQSMGBZMKD-UHFFFAOYSA-N"	"abt199"
